sep=	
whiteAverageNodes	blackAverageNodes	whiteAverageTime	blackAverageTime	whiteMaxDepth	blackMaxDepth	whiteAccessor	blackAccessor	winner
235,82	1271535,62	0,01	6,38	4	9	SimpleAccessor	SimpleAccessor	BLACK
201,81	818241,63	0,0	4,01	4	9	SimpleAccessor	SimpleAccessor	BLACK
198,65	613726,77	0,0	2,95	4	9	SimpleAccessor	SimpleAccessor	BLACK
186,86	476389,79	0,0	2,27	4	9	SimpleAccessor	SimpleAccessor	BLACK
191,81	445886,94	0,0	2,09	4	9	SimpleAccessor	SimpleAccessor	BLACK
294,75	1840389,36	0,0	7,43	4	9	SimpleAccessor	SimpleAccessor	null
274,44	1585458,22	0,0	6,4	4	9	SimpleAccessor	SimpleAccessor	BLACK
259,02	1417045,22	0,0	5,72	4	9	SimpleAccessor	SimpleAccessor	BLACK
251,0	1303720,58	0,0	5,27	4	9	SimpleAccessor	SimpleAccessor	BLACK
244,61	1207554,94	0,0	4,89	4	9	SimpleAccessor	SimpleAccessor	BLACK
236,66	1194046,17	0,0	4,9	4	9	SimpleAccessor	SimpleAccessor	BLACK
233,61	1140577,39	0,0	4,69	4	9	SimpleAccessor	SimpleAccessor	BLACK
230,76	1064626,91	0,0	4,38	4	9	SimpleAccessor	SimpleAccessor	BLACK
226,54	1033251,82	0,0	4,25	4	9	SimpleAccessor	SimpleAccessor	BLACK
222,88	961914,68	0,0	3,96	4	9	SimpleAccessor	SimpleAccessor	BLACK
221,04	918717,9	0,0	3,77	4	9	SimpleAccessor	SimpleAccessor	BLACK
219,88	890305,22	0,0	3,67	4	9	SimpleAccessor	SimpleAccessor	BLACK
218,13	878302,43	0,0	3,62	4	9	SimpleAccessor	SimpleAccessor	BLACK
212,2	839336,37	0,0	3,46	4	9	SimpleAccessor	SimpleAccessor	BLACK
210,54	815256,01	0,0	3,36	4	9	SimpleAccessor	SimpleAccessor	BLACK
210,58	798109,38	0,0	3,29	4	9	SimpleAccessor	SimpleAccessor	BLACK
210,7	785780,95	0,0	3,25	4	9	SimpleAccessor	SimpleAccessor	BLACK
209,73	766923,94	0,0	3,17	4	9	SimpleAccessor	SimpleAccessor	BLACK
205,48	745694,48	0,0	3,08	4	9	SimpleAccessor	SimpleAccessor	BLACK
201,91	721634,84	0,0	2,98	4	9	SimpleAccessor	SimpleAccessor	BLACK
200,51	710551,02	0,0	2,94	4	9	SimpleAccessor	SimpleAccessor	BLACK
225,44	762998,01	0,0	3,1	4	9	SimpleAccessor	SimpleAccessor	null
224,14	751736,08	0,0	3,06	4	9	SimpleAccessor	SimpleAccessor	BLACK
223,59	743206,97	0,0	3,03	4	9	SimpleAccessor	SimpleAccessor	BLACK
222,94	733515,51	0,0	2,99	4	9	SimpleAccessor	SimpleAccessor	BLACK
223,75	731153,2	0,0	2,98	4	9	SimpleAccessor	SimpleAccessor	BLACK
223,73	731672,08	0,0	2,99	4	9	SimpleAccessor	SimpleAccessor	BLACK
222,46	720088,28	0,0	2,95	4	9	SimpleAccessor	SimpleAccessor	BLACK
222,15	715301,16	0,0	2,94	4	9	SimpleAccessor	SimpleAccessor	BLACK
221,3	711182,0	0,0	2,93	4	9	SimpleAccessor	SimpleAccessor	BLACK
221,05	702817,35	0,0	2,89	4	9	SimpleAccessor	SimpleAccessor	BLACK
220,37	701242,69	0,0	2,89	4	9	SimpleAccessor	SimpleAccessor	BLACK
220,24	700225,81	0,0	2,9	4	9	SimpleAccessor	SimpleAccessor	BLACK
218,87	689443,18	0,0	2,85	4	9	SimpleAccessor	SimpleAccessor	BLACK
217,15	676410,46	0,0	2,8	4	9	SimpleAccessor	SimpleAccessor	BLACK
218,82	689704,18	0,0	2,86	4	9	SimpleAccessor	SimpleAccessor	BLACK
229,12	744728,9	0,0	3,06	4	9	SimpleAccessor	SimpleAccessor	null
228,32	740787,72	0,0	3,04	4	9	SimpleAccessor	SimpleAccessor	BLACK
226,53	730473,88	0,0	3,0	4	9	SimpleAccessor	SimpleAccessor	BLACK
225,26	737041,7	0,0	3,04	4	9	SimpleAccessor	SimpleAccessor	BLACK
223,49	728653,69	0,0	3,01	4	9	SimpleAccessor	SimpleAccessor	BLACK
223,66	721915,16	0,0	2,98	4	9	SimpleAccessor	SimpleAccessor	WHITE
222,88	712619,87	0,0	2,94	4	9	SimpleAccessor	SimpleAccessor	BLACK
222,92	715131,42	0,0	2,95	4	9	SimpleAccessor	SimpleAccessor	BLACK
229,54	1109017,07	0,0	5,25	4	9	SimpleAccessor	SimpleAccessor	BLACK
228,83	1089176,26	0,0	5,15	4	9	SimpleAccessor	SimpleAccessor	BLACK
228,2	1078336,31	0,0	5,1	4	9	SimpleAccessor	SimpleAccessor	BLACK
228,2	1072073,78	0,0	5,06	4	9	SimpleAccessor	SimpleAccessor	BLACK
227,5	1059006,66	0,0	5,0	4	9	SimpleAccessor	SimpleAccessor	BLACK
227,57	1056867,45	0,0	4,99	4	9	SimpleAccessor	SimpleAccessor	BLACK
228,09	1061606,9	0,0	5,01	4	9	SimpleAccessor	SimpleAccessor	BLACK
228,34	1105835,95	0,0	5,24	4	9	SimpleAccessor	SimpleAccessor	BLACK
226,53	1087996,36	0,0	5,16	4	9	SimpleAccessor	SimpleAccessor	WHITE
225,9	1080833,48	0,0	5,12	4	9	SimpleAccessor	SimpleAccessor	BLACK
225,56	1083895,7	0,0	5,11	4	9	SimpleAccessor	SimpleAccessor	null

