sep=	
whiteAverageNodes	blackAverageNodes	whiteAverageTime	blackAverageTime	whiteMaxDepth	blackMaxDepth	whiteAccessor	blackAccessor	winner
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	WHITE
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	BLACK
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	WHITE
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	WHITE
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	WHITE
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	WHITE
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	BLACK
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	WHITE
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	BLACK
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	WHITE
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	WHITE
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	BLACK
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	WHITE
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	BLACK
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	BLACK
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	BLACK
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	WHITE
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	WHITE
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	BLACK
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	WHITE
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	WHITE
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	BLACK
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	BLACK
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	WHITE
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	WHITE
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	WHITE
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	BLACK
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	BLACK
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	WHITE
0,0	0,0	0,0	0,0	1	1	ComplexGridAccessor	ComplexGridAccessor	BLACK

5,88	6,19	0,0	0,0	2	2	ComplexGridAccessor	ComplexGridAccessor	WHITE
6,13	6,66	0,0	0,0	2	2	ComplexGridAccessor	ComplexGridAccessor	BLACK
7,14	9,43	0,0	0,0	2	2	ComplexGridAccessor	ComplexGridAccessor	null
6,95	8,79	0,0	0,0	2	2	ComplexGridAccessor	ComplexGridAccessor	WHITE
6,91	8,41	0,0	0,0	2	2	ComplexGridAccessor	ComplexGridAccessor	BLACK
7,12	7,61	0,0	0,0	2	2	ComplexGridAccessor	ComplexGridAccessor	WHITE
7,04	7,31	0,0	0,0	2	2	ComplexGridAccessor	ComplexGridAccessor	WHITE
7,0	7,0	0,0	0,0	2	2	ComplexGridAccessor	ComplexGridAccessor	WHITE
6,95	6,89	0,0	0,0	2	2	ComplexGridAccessor	ComplexGridAccessor	WHITE
6,88	6,81	0,0	0,0	2	2	ComplexGridAccessor	ComplexGridAccessor	BLACK
