sep=	
whiteAverageNodes	blackAverageNodes	whiteAverageTime	blackAverageTime	whiteMaxDepth	blackMaxDepth	whiteAccessor	blackAccessor	winner
4864,11	2817,77	0,05	0,03	6	6	SimpleAccessor	SimpleAccessor	WHITE
4047,04	2736,15	0,03	0,02	6	6	SimpleAccessor	SimpleAccessor	WHITE
3504,16	2715,01	0,03	0,02	6	6	SimpleAccessor	SimpleAccessor	BLACK
3014,27	2446,08	0,02	0,02	6	6	SimpleAccessor	SimpleAccessor	BLACK
8583,77	11864,79	0,06	0,06	6	6	SimpleAccessor	SimpleAccessor	null
8088,04	10939,28	0,05	0,05	6	6	SimpleAccessor	SimpleAccessor	BLACK
7551,08	10066,04	0,05	0,05	6	6	SimpleAccessor	SimpleAccessor	BLACK
6942,74	8985,45	0,04	0,04	6	6	SimpleAccessor	SimpleAccessor	WHITE
6606,68	8503,31	0,04	0,04	6	6	SimpleAccessor	SimpleAccessor	BLACK
6988,3	8435,26	0,04	0,04	6	6	SimpleAccessor	SimpleAccessor	null
6538,14	7793,05	0,04	0,04	6	6	SimpleAccessor	SimpleAccessor	WHITE
6470,35	7560,57	0,04	0,04	6	6	SimpleAccessor	SimpleAccessor	BLACK
6125,69	7057,3	0,03	0,03	6	6	SimpleAccessor	SimpleAccessor	WHITE
6071,73	6910,01	0,03	0,03	6	6	SimpleAccessor	SimpleAccessor	BLACK
5796,5	6536,64	0,03	0,03	6	6	SimpleAccessor	SimpleAccessor	BLACK
7214,24	7408,18	0,04	0,04	6	6	SimpleAccessor	SimpleAccessor	null
7058,51	7183,12	0,04	0,04	6	6	SimpleAccessor	SimpleAccessor	WHITE
6839,44	6968,24	0,04	0,03	6	6	SimpleAccessor	SimpleAccessor	BLACK
6679,86	6764,82	0,04	0,03	6	6	SimpleAccessor	SimpleAccessor	WHITE
6465,73	6777,1	0,03	0,03	6	6	SimpleAccessor	SimpleAccessor	BLACK
6303,34	6575,29	0,03	0,03	6	6	SimpleAccessor	SimpleAccessor	WHITE
6285,09	6544,75	0,03	0,03	6	6	SimpleAccessor	SimpleAccessor	BLACK
6216,38	6484,76	0,03	0,03	6	6	SimpleAccessor	SimpleAccessor	BLACK
6948,42	7002,51	0,04	0,03	6	6	SimpleAccessor	SimpleAccessor	null
7159,55	7184,97	0,04	0,03	6	6	SimpleAccessor	SimpleAccessor	null
7023,0	7103,77	0,04	0,03	6	6	SimpleAccessor	SimpleAccessor	BLACK
6914,74	6947,65	0,03	0,03	6	6	SimpleAccessor	SimpleAccessor	WHITE
7996,4	7590,4	0,04	0,04	6	6	SimpleAccessor	SimpleAccessor	null
7930,19	7593,93	0,04	0,04	6	6	SimpleAccessor	SimpleAccessor	BLACK
9432,04	8326,71	0,05	0,04	6	6	SimpleAccessor	SimpleAccessor	null

6061,95	38461,54	0,03	0,18	6	7	SimpleAccessor	SimpleAccessor	BLACK
4668,45	30338,43	0,02	0,14	6	7	SimpleAccessor	SimpleAccessor	BLACK
10054,1	84347,68	0,05	0,44	6	7	SimpleAccessor	SimpleAccessor	null
17027,43	115677,84	0,08	0,55	6	7	SimpleAccessor	SimpleAccessor	null
15763,95	106620,28	0,07	0,5	6	7	SimpleAccessor	SimpleAccessor	BLACK
14379,91	94336,07	0,07	0,44	6	7	SimpleAccessor	SimpleAccessor	WHITE
16092,34	95028,91	0,07	0,43	6	7	SimpleAccessor	SimpleAccessor	null
16723,12	101714,33	0,07	0,46	6	7	SimpleAccessor	SimpleAccessor	null
15600,42	96992,11	0,07	0,44	6	7	SimpleAccessor	SimpleAccessor	BLACK
14698,19	89896,65	0,06	0,41	6	7	SimpleAccessor	SimpleAccessor	BLACK
13987,32	85160,58	0,06	0,39	6	7	SimpleAccessor	SimpleAccessor	WHITE
13443,13	80682,36	0,06	0,36	6	7	SimpleAccessor	SimpleAccessor	null
13514,32	81684,42	0,06	0,36	6	7	SimpleAccessor	SimpleAccessor	null
13082,51	79394,29	0,06	0,35	6	7	SimpleAccessor	SimpleAccessor	null
12523,33	75123,29	0,05	0,33	6	7	SimpleAccessor	SimpleAccessor	WHITE
12138,27	72049,81	0,05	0,32	6	7	SimpleAccessor	SimpleAccessor	BLACK
11702,0	69962,22	0,05	0,31	6	7	SimpleAccessor	SimpleAccessor	WHITE
11322,8	67061,08	0,05	0,3	6	7	SimpleAccessor	SimpleAccessor	WHITE
10968,57	64801,4	0,05	0,29	6	7	SimpleAccessor	SimpleAccessor	BLACK
10576,23	62437,8	0,05	0,28	6	7	SimpleAccessor	SimpleAccessor	BLACK
10252,97	60536,1	0,04	0,27	6	7	SimpleAccessor	SimpleAccessor	WHITE
10050,49	59294,79	0,04	0,26	6	7	SimpleAccessor	SimpleAccessor	BLACK
9819,85	57983,44	0,04	0,26	6	7	SimpleAccessor	SimpleAccessor	BLACK
9710,96	56882,08	0,04	0,25	6	7	SimpleAccessor	SimpleAccessor	WHITE
9931,6	58428,35	0,04	0,26	6	7	SimpleAccessor	SimpleAccessor	null
11098,36	64391,98	0,05	0,28	6	7	SimpleAccessor	SimpleAccessor	null
11203,21	64564,74	0,05	0,28	6	7	SimpleAccessor	SimpleAccessor	BLACK
11819,29	68909,8	0,05	0,3	6	7	SimpleAccessor	SimpleAccessor	null
11514,35	67717,79	0,05	0,3	6	7	SimpleAccessor	SimpleAccessor	BLACK
11391,46	66981,42	0,05	0,3	6	7	SimpleAccessor	SimpleAccessor	BLACK

