sep=	
whiteAverageNodes	blackAverageNodes	whiteAverageTime	blackAverageTime	whiteMaxDepth	blackMaxDepth	whiteAccessor	blackAccessor	winner
164,76	166,56	0,01	0,01	4	4	SimpleAccessor	ComplexGridAccessor	BLACK
160,36	152,0	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	WHITE
171,17	148,28	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	WHITE
229,73	238,91	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	BLACK
215,76	236,16	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	BLACK
205,17	213,81	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	WHITE
197,0	204,35	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	WHITE
197,3	204,4	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	BLACK
200,02	201,39	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	null
197,64	198,77	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	BLACK
190,33	194,3	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	BLACK
189,86	196,46	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	BLACK
189,79	197,0	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	WHITE
194,27	197,45	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	WHITE
194,91	193,32	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	WHITE
191,07	190,74	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	BLACK
194,51	196,63	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	null
204,92	213,65	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	null
205,21	214,43	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	BLACK
219,55	218,62	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	WHITE
218,0	218,04	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	BLACK
214,74	214,67	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	BLACK
214,09	213,78	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	BLACK
219,83	223,26	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	null
219,52	222,92	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	BLACK
218,37	221,31	0,0	0,0	4	4	SimpleAccessor	ComplexGridAccessor	BLACK
