sep=	
whiteAverageNodes	blackAverageNodes	whiteAverageTime	blackAverageTime	whiteMaxDepth	blackMaxDepth	whiteAccessor	blackAccessor	winner
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	WHITE
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	WHITE
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	WHITE
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	WHITE
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	WHITE
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	WHITE
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	WHITE
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	BLACK
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	WHITE
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	WHITE
0,0	0,0	0,0	0,0	1	0	SimpleAccessor	SimpleAccessor	WHITE

12,1	0,0	0,0	0,0	2	0	SimpleAccessor	SimpleAccessor	WHITE
9,95	0,0	0,0	0,0	2	0	SimpleAccessor	SimpleAccessor	WHITE
8,3	0,0	0,0	0,0	2	0	SimpleAccessor	SimpleAccessor	WHITE
8,22	0,0	0,0	0,0	2	0	SimpleAccessor	SimpleAccessor	WHITE
7,79	0,0	0,0	0,0	2	0	SimpleAccessor	SimpleAccessor	WHITE
7,93	0,0	0,0	0,0	2	0	SimpleAccessor	SimpleAccessor	WHITE
7,9	0,0	0,0	0,0	2	0	SimpleAccessor	SimpleAccessor	WHITE
