sep=	
whiteAverageNodes	blackAverageNodes	whiteAverageTime	blackAverageTime	whiteMaxDepth	blackMaxDepth	whiteAccessor	blackAccessor	winner
253,0	107183,48	0,01	0,56	4	8	SimpleAccessor	SimpleAccessor	BLACK
253,77	116760,15	0,0	0,57	4	8	SimpleAccessor	SimpleAccessor	BLACK
274,3	758961,07	0,0	3,29	4	8	SimpleAccessor	SimpleAccessor	null
248,2	633005,7	0,0	2,74	4	8	SimpleAccessor	SimpleAccessor	BLACK
240,79	541049,69	0,0	2,34	4	8	SimpleAccessor	SimpleAccessor	BLACK
238,69	486905,21	0,0	2,12	4	8	SimpleAccessor	SimpleAccessor	BLACK
241,45	462614,58	0,0	2,03	4	8	SimpleAccessor	SimpleAccessor	BLACK
240,82	438097,84	0,0	1,94	4	8	SimpleAccessor	SimpleAccessor	BLACK
233,32	390415,06	0,0	1,73	4	8	SimpleAccessor	SimpleAccessor	BLACK
224,74	354700,31	0,0	1,57	4	8	SimpleAccessor	SimpleAccessor	BLACK
226,36	336549,95	0,0	1,49	4	8	SimpleAccessor	SimpleAccessor	BLACK
222,16	310652,31	0,0	1,38	4	8	SimpleAccessor	SimpleAccessor	BLACK
218,07	292142,15	0,0	1,29	4	8	SimpleAccessor	SimpleAccessor	BLACK
212,66	271660,89	0,0	1,2	4	8	SimpleAccessor	SimpleAccessor	WHITE
209,52	261162,66	0,0	1,16	4	8	SimpleAccessor	SimpleAccessor	BLACK
208,79	253097,68	0,0	1,12	4	8	SimpleAccessor	SimpleAccessor	BLACK
204,76	238623,82	0,0	1,06	4	8	SimpleAccessor	SimpleAccessor	BLACK
202,03	227308,62	0,0	1,01	4	8	SimpleAccessor	SimpleAccessor	BLACK
196,48	217226,86	0,0	0,96	4	8	SimpleAccessor	SimpleAccessor	BLACK
196,11	210054,75	0,0	0,93	4	8	SimpleAccessor	SimpleAccessor	BLACK
193,84	202884,35	0,0	0,9	4	8	SimpleAccessor	SimpleAccessor	BLACK
217,59	246769,79	0,0	1,18	4	8	SimpleAccessor	SimpleAccessor	null
215,51	237524,36	0,0	1,13	4	8	SimpleAccessor	SimpleAccessor	BLACK
216,32	231338,92	0,0	1,1	4	8	SimpleAccessor	SimpleAccessor	BLACK
213,72	223735,81	0,0	1,07	4	8	SimpleAccessor	SimpleAccessor	BLACK
217,71	222634,81	0,0	1,06	4	8	SimpleAccessor	SimpleAccessor	null
219,3	220989,9	0,0	1,05	4	8	SimpleAccessor	SimpleAccessor	BLACK
219,59	220030,75	0,0	1,04	4	8	SimpleAccessor	SimpleAccessor	BLACK
218,83	216401,39	0,0	1,02	4	8	SimpleAccessor	SimpleAccessor	BLACK
224,32	220873,91	0,0	1,04	4	8	SimpleAccessor	SimpleAccessor	null
221,11	214898,84	0,0	1,01	4	8	SimpleAccessor	SimpleAccessor	BLACK
220,06	211538,58	0,0	1,0	4	8	SimpleAccessor	SimpleAccessor	BLACK
218,31	207000,73	0,0	0,97	4	8	SimpleAccessor	SimpleAccessor	BLACK
224,87	298941,73	0,0	1,38	4	8	SimpleAccessor	SimpleAccessor	null
223,36	289591,92	0,0	1,34	4	8	SimpleAccessor	SimpleAccessor	BLACK
221,85	283183,67	0,0	1,31	4	8	SimpleAccessor	SimpleAccessor	BLACK
220,64	277637,28	0,0	1,28	4	8	SimpleAccessor	SimpleAccessor	BLACK
218,22	271668,76	0,0	1,26	4	8	SimpleAccessor	SimpleAccessor	BLACK
217,62	267321,45	0,0	1,24	4	8	SimpleAccessor	SimpleAccessor	BLACK
216,02	259566,77	0,0	1,2	4	8	SimpleAccessor	SimpleAccessor	BLACK
216,53	256085,76	0,0	1,18	4	8	SimpleAccessor	SimpleAccessor	BLACK
216,02	252979,64	0,0	1,17	4	8	SimpleAccessor	SimpleAccessor	BLACK
220,19	300937,49	0,0	1,36	4	8	SimpleAccessor	SimpleAccessor	null
223,97	356346,66	0,0	1,58	4	8	SimpleAccessor	SimpleAccessor	BLACK
224,16	351770,36	0,0	1,56	4	8	SimpleAccessor	SimpleAccessor	BLACK
222,74	347501,17	0,0	1,54	4	8	SimpleAccessor	SimpleAccessor	BLACK
225,51	401739,17	0,0	1,77	4	8	SimpleAccessor	SimpleAccessor	null
225,14	397013,44	0,0	1,75	4	8	SimpleAccessor	SimpleAccessor	BLACK
225,16	391996,69	0,0	1,73	4	8	SimpleAccessor	SimpleAccessor	BLACK
226,15	392470,2	0,0	1,73	4	8	SimpleAccessor	SimpleAccessor	BLACK
224,53	387537,85	0,0	1,7	4	8	SimpleAccessor	SimpleAccessor	BLACK
224,12	382516,42	0,0	1,68	4	8	SimpleAccessor	SimpleAccessor	BLACK
223,29	379505,5	0,0	1,67	4	8	SimpleAccessor	SimpleAccessor	BLACK
222,84	375514,14	0,0	1,65	4	8	SimpleAccessor	SimpleAccessor	BLACK
221,58	369124,34	0,0	1,62	4	8	SimpleAccessor	SimpleAccessor	WHITE
220,91	365396,97	0,0	1,61	4	8	SimpleAccessor	SimpleAccessor	BLACK
226,03	375134,42	0,0	1,65	4	8	SimpleAccessor	SimpleAccessor	null
225,65	371142,8	0,0	1,63	4	8	SimpleAccessor	SimpleAccessor	BLACK
225,51	365975,28	0,0	1,61	4	8	SimpleAccessor	SimpleAccessor	BLACK
225,75	363333,82	0,0	1,6	4	8	SimpleAccessor	SimpleAccessor	BLACK

