sep=	
whiteAverageNodes	blackAverageNodes	whiteAverageTime	blackAverageTime	whiteMaxDepth	blackMaxDepth	whiteAccessor	blackAccessor	winner
288,07	0,0	0,01	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
281,96	0,0	0,01	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
296,0	0,0	0,01	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
298,72	0,0	0,01	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
319,74	0,0	0,01	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
300,35	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
294,79	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
295,0	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
288,14	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
294,69	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
303,66	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
299,65	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
301,26	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
296,55	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
289,41	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
286,1	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
287,38	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
282,79	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
283,36	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
283,0	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
284,9	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
281,66	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
282,11	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
280,27	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
278,82	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
279,27	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
277,36	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
279,85	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
278,18	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE
275,45	0,0	0,0	0,0	4	0	SimpleAccessor	SimpleAccessor	WHITE

1293,64	0,0	0,01	0,0	5	0	SimpleAccessor	SimpleAccessor	WHITE
1261,26	0,0	0,01	0,0	5	0	SimpleAccessor	SimpleAccessor	WHITE
1284,0	0,0	0,01	0,0	5	0	SimpleAccessor	SimpleAccessor	WHITE
1208,81	0,0	0,01	0,0	5	0	SimpleAccessor	SimpleAccessor	WHITE
1169,18	0,0	0,01	0,0	5	0	SimpleAccessor	SimpleAccessor	WHITE
1210,27	0,0	0,01	0,0	5	0	SimpleAccessor	SimpleAccessor	WHITE
1102,44	0,0	0,01	0,0	5	0	SimpleAccessor	SimpleAccessor	WHITE
1049,83	0,0	0,01	0,0	5	0	SimpleAccessor	SimpleAccessor	WHITE
1039,42	0,0	0,01	0,0	5	0	SimpleAccessor	SimpleAccessor	WHITE
1027,79	0,0	0,01	0,0	5	0	SimpleAccessor	SimpleAccessor	WHITE
