sep=	
whiteAverageNodes	blackAverageNodes	whiteAverageTime	blackAverageTime	whiteMaxDepth	blackMaxDepth	whiteAccessor	blackAccessor	winner
392,27	318,97	0,01	0,01	4	4	SimpleAccessor	SimpleAccessor	null
350,71	298,06	0,01	0,0	4	4	SimpleAccessor	SimpleAccessor	null
331,5	295,61	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	null
312,24	279,62	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	BLACK
293,28	266,82	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	BLACK
290,9	271,84	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	null
275,97	261,55	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	BLACK
309,78	331,17	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	null
304,06	316,31	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	WHITE
293,91	305,33	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	WHITE
291,89	314,76	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	null
288,52	306,13	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	WHITE
284,31	298,29	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	WHITE
285,15	295,68	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	null
276,94	287,37	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	BLACK
274,4	281,81	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	WHITE
271,28	276,97	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	WHITE
265,38	270,23	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	WHITE
260,87	269,07	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	BLACK
257,91	265,4	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	BLACK
255,13	260,3	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	WHITE
257,56	258,9	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	null
251,84	253,65	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	BLACK
250,9	253,3	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	BLACK
248,3	250,32	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	BLACK
249,03	259,27	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	null
248,97	257,89	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	BLACK
244,51	252,44	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	WHITE
242,48	249,87	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	BLACK
242,23	248,6	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	BLACK
240,06	246,31	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	WHITE
255,82	274,03	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	null
251,71	270,62	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	BLACK
251,23	268,85	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	WHITE
271,37	270,44	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	null
277,56	280,43	0,0	0,0	4	4	SimpleAccessor	SimpleAccessor	null
